"N";"Category";"Category Type";"Type";"Description";"Type";"Identifier";"LDEL";"Fields";"Label";"RDEL";"GEDCOM";"Shorten";"Attribute";"Privacy";"Optional";"Hint";"Tooltip"
1;"Archives & Artifacts";"Archived Material";"Artifact";;"L";"ESM93";;"[AUTHOR]";"Creator";".";"A";"SG";;;;;
;;;;;;;;"[TITLE]";"Artifact Title";".";"T";;"Quoted";;;;
;;;;;;;;"[TYPE]";"Item Type";".";"P";;;;;;
;;;;;;;;"[CREATION DATE]";;".";"P";;;;;;
;;;;;;;;"[COLLECTION]";;".";"P";;;;;;
;;;;;;;;"[REPOSITORY]";;",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
1;"Archives & Artifacts";"Archived Material";"Artifact";;"F";"ESM93";;"[AUTHOR]";"Creator";",";;"GS";;;;;
;;;;;;;;"[TITLE]";"Artifact Title";",";;;"Quoted";;;;
;;;;;;;;"[TYPE]";;",";;;;;;;
;;;;;;;;"[CREATION DATE]";;";";;;;;;;
;;;;;;;;"[NUMBER]";"Item No.";",";;;;;;;
;;;;;;;;"[COLLECTION]";;";";;;;;;;
;;;;;;;;"[REPOSITORY]";;",";;;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";;"LOC";;;;;
;;;;;;;;"[RESEARCH COMMENT]";"Descriptive Detail/Evaluation";".";;;;;;;
1;"Archives & Artifacts";"Archived Material";"Artifact";;"S";"ESM93";;"[AUTHOR]";"Creator";",";;"SETAL";;;;;
;;;;;;;;"[TITLE]";"Artifact Title";",";;;"Quoted";;;;
;;;;;;;;"[COLLECTION]";;".";;;;;;;
2;"Archives & Artifacts";"Archived Material";"Digital Archives";;"L";"ESM94";;"[COLLECTION]";;".";"T";;"Quoted";;;;
;;;;;;;;"[TYPE]";"Item Type";".";"P";;;;;;
;;;;;;;;"[WEBSITE CREATOR/OWNER]";;".";"A";;;;;;
;;;;;;;;"[WEBSITE]";;".";"P";;"Italics";;;;
;;;;;;;;"[URL (DIGITAL LOCATION)]";;":";"P";;;;;;
;;;;;;;;"[YEAR]";"Year(s)";".";"P";;;;;;
2;"Archives & Artifacts";"Archived Material";"Digital Archives";;"F";"ESM94";;"[COLLECTION]";;",";;;"Quoted";;;;
;;;;;;;;"[WEBSITE CREATOR/OWNER]";;",";;;;;;;
;;;;;;;;"[WEBSITE]";;;;;"Italics";;;;
;;;;;;;"(";"[URL (DIGITAL LOCATION)]";;":";;;;;;;
;;;;;;;"accessed";"[DATE ACCESSED]";;").";;;;;;;
;;;;;;;;"[TYPE]";"Item Type";",";;;;;;;
;;;;;;;;"[TITLE]";"Document Title";",";;;"Quoted";;;;
;;;;;;;"p.";"[PAGE]";"Page(s)";";";;;;;;;
;;;;;;;;"[CREDIT LINE]";;".";;;;;;;
2;"Archives & Artifacts";"Archived Material";"Digital Archives";;"S";"ESM94";;"[COLLECTION]";;",";;;"Quoted";;;;
;;;;;;;;"[WEBSITE]";;",";;;"Italics";;;;
;;;;;;;;"[TITLE]";"Document Title";",";;;"Quoted";;;;
;;;;;;;;"[PAGE]";"Page(s)";".";;;;;;;
3;"Archives & Artifacts";"Archived Material";"Manuscript Records";"Collection, emphasis on";"L";"ESM95";;"[COLLECTION]";;".";"T";;;;;;
;;;;;;;;"[REPOSITORY]";;",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
3;"Archives & Artifacts";"Archived Material";"Manuscript Records";"Collection, emphasis on";"F";"ESM95";;"[TITLE]";"Record Title";",";;;"Quoted";;;;
;;;;;;;;"[DATE]";"Record Date(s)";";";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";"Item or Piece";",";;;;;;;
;;;;;;;;"[NUMBER]";"Item or Piece Number";";";;;;;;;
;;;;;;;;"[COLLECTION]";;";";;;;;;;
;;;;;;;;"[REPOSITORY]";;",";;;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";;"LOC";;;;;
;;;;;;;;"[RESEARCH COMMENT]";"Descriptive Detail/Evaluation";".";;;;;;;
3;"Archives & Artifacts";"Archived Material";"Manuscript Records";"Collection, emphasis on";"S";"ESM95";;"[TITLE]";"Record Title";",";;;"Quoted";;;;
;;;;;;;;"[DATE]";"Record Date(s)";",";;"YEAR";;;;;
;;;;;;;;"[COLLECTION]";;",";;;;;;;
;;;;;;;;"[NUMBER]";"Item or Piece Number";".";;;;;;;
4;"Archives & Artifacts";"Archived Material";"Manuscript Records";"Document, emphasis on";"L";"ESM96";;"[TITLE]";"Document Title";".";"T";;"Quoted";;;;
;;;;;;;;"[SERIES NO.]";;",";"P";;;;;;
;;;;;;;;"[SERIES]";;",";"P";;;;;;
;;;;;;;;"[COLLECTION]";;".";"P";;;;;;
;;;;;;;;"[REPOSITORY]";;",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
4;"Archives & Artifacts";"Archived Material";"Manuscript Records";"Document, emphasis on";"F";"ESM96";;"[TITLE]";"Document Title";",";;;"Quoted";;;;
;;;;;;;;"[SERIES NO.]";;",";;;;;;;
;;;;;;;;"[SERIES]";;",";;;;;;;
;;;;;;;"vol.";"[VOLUME]";;",";;;;;;;
;;;;;;;"p.";"[PAGE]";"Page(s)";";";;;;;;;
;;;;;;;;"[COLLECTION]";;",";;;;;;;
;;;;;;;;"[REPOSITORY]";;",";;;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";;"LOC";;;;;
4;"Archives & Artifacts";"Archived Material";"Manuscript Records";"Document, emphasis on";"S";"ESM96";;"[TITLE]";"Document Title";",";;;"Quoted";;;;
;;;;;;;;"[SERIES NO.]";;",";;;;;;;
;;;;;;;;"[VOLUME]";;":";;;;;;;
;;;;;;;;"[PAGE]";"Page(s)";";";;;;;;;
;;;;;;;;"[COLLECTION]";;".";;;;;;;
5;"Archives & Artifacts";"Archived Material";"Manuscript Records";"Series, emphasis on";"L";"ESM97";;"[SERIES]";;".";"T";;;;;;
;;;;;;;;"[COLLECTION]";;".";"P";;;;;;
;;;;;;;;"[REPOSITORY]";;",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
5;"Archives & Artifacts";"Archived Material";"Manuscript Records";"Series, emphasis on";"F";"ESM97";;"[AUTHOR]";"Author (Grantor)";;;"GS";;;;;
;;;;;;;" to";"[RECIPIENT]";;",";;"GS";;;;;
;;;;;;;;"[ID]";"Record ID";",";;;;;;;
;;;;;;;;"[DATE]";"Record Date(s)";";";;;;;;;
;;;;;;;;"[FILE NO.]";;",";;;;;;;
;;;;;;;;"[FILE]";"File Name";";";;;;;;;
;;;;;;;;"[SERIES]";;;;;;;;;
;;;;;;;"(";"[SERIES NO.]";;");";;;;;;;
;;;;;;;;"[COLLECTION]";;",";;;;;;;
;;;;;;;;"[REPOSITORY]";;",";;;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";;"LOC";;;;;
5;"Archives & Artifacts";"Archived Material";"Manuscript Records";"Series, emphasis on";"S";"ESM97";;"[AUTHOR]";;;;"S";;;;;
;;;;;;;" to";"[RECIPIENT]";;",";;"S";;;;;
;;;;;;;;"[ID]";"Record ID";",";;;;;;;
;;;;;;;;"[DATE]";;",";;"YEAR";;;;;
;;;;;;;;"[SERIES]";;",";;;;;;;
;;;;;;;;"[COLLECTION]";;".";;;;;;;
6;"Archives & Artifacts";"Archived Material";"Personal Bible";;"L";"ESM98";;"[AUTHOR]";"Bible Original Owner";;"A";"SG";;;;;
;;;;;;;;"[ID]";"Bible ID";",";"P";;;;;;
;;;;;;;;"[DATE RANGE]";;".";"P";;;;;;
;;;;;;;;"[TITLE]";"Bible Title";".";"T";;"Italics";;;;
;;;;;;;;"[PUBLICATION PLACE]";;":";"P";;;;;;
;;;;;;;;"[PUBLISHER]";;",";"P";;;;;;
;;;;;;;;"[PUBLICATION YEAR]";;".";"P";;;;;;
;;;;;;;;"[COLLECTION]";;".";"P";;;;;;
;;;;;;;;"[REPOSITORY]";;",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
6;"Archives & Artifacts";"Archived Material";"Personal Bible";;"F";"ESM98";;"[AUTHOR]";"Bible Original Owner";;;;;;;;
;;;;;;;;"[ID]";"BIble ID";",";;;;;;;
;;;;;;;;"[DATE RANGE]";;";";;;;;;;
;;;;;;;;"[TITLE]";"Bible Title";;;;"Italics";;;;
;;;;;;;"(";"[PUBLICATION PLACE]";;":";;;;;;;
;;;;;;;;"[PUBLISHER]";;",";;;;;;;
;;;;;;;;"[PUBLICATION YEAR]";;");";;;;;;;
