event,    eventtype,  date,        place,    description,        source,          note,                           note_type,  tag,      person,   family,   role,    media,                         media_description,    media_date
E1,       Census,     1901-04-01,  London,   Household of five,  1901 Census,     Transcribed from microfilm,     Transcript, Verified, [I0001],  ,         Primary, /scans/1901_pg12b.jpg,         Census page 12b,      2024-05-01
E2,       Emigration, 1902-03-15,  Hamburg,  ,                   ,                Cross-ref with arrival record,  Research,   ,         [I0001],  ,         Primary, ,                              ,
E3,       Marriage,   1885-06-20,  [P0012],  ,                   Parish register, ,                               ,           ,         ,         [F0003],  Family,  /scans/marriage_cert_1885.tif, Mueller marriage cert,
E4,       Burial,     1932,        ,         ,                   ,                ,                               ,           ,         [I0002],  ,         Primary, /photos/gravestone.jpg,        Mueller gravestone,   2023-09-14
[E0042],  Census,     1851-03-30,  Bristol,  ,                   1851 Census,     ,                               ,           ,         [I0003],  ,         Primary, ,                              ,

citation, source,          page,  date,       confidence, note,                                  note_type,  tag,      person,   family,   event,    place,    media,                         media_description,    media_date
C1,       1901 Census,     12b,   1901-04-01, 3,          Original held at TNA; ref RG13/1234,  General,    Verified, [I0001],  ,         E1,       ,         /scans/1901_pg12b.jpg,         Census page 12b,      2024-05-01
C2,       Passenger list,  ,      1902-03-15, 2,          Verbatim: "Johann Müller, age 34",    Transcript, ,         ,         ,         E2,       ,         ,                              ,
C3,       Parish register, p.47,  ,           4,          ,                                      ,           ,         ,         [F0003],  E3,       [P0012],  /scans/marriage_cert_1885.tif, Mueller marriage cert,
C4,       Cemetery survey, ,      ,           1,          Not personally verified,               Research,   ,         [I0002],  ,         E4,       ,         ,                              ,
[C0010],  1851 Census,     8a,    1851-03-30, 3,          ,                                      ,           ,         ,         ,         [E0042],  ,         ,                              ,
